DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
2015-12-28,09:30,107.575,107.63,107.552,107.59,282101
2015-12-28,09:31,107.5699,107.61,107.51,107.55,62713
2015-12-28,09:32,107.53,107.56,107.45,107.56,101285
2015-12-28,09:33,107.6,107.65,107.51,107.54,119713
2015-12-28,09:34,107.63,107.66,107.47,107.6,128131
2015-12-28,09:35,107.59,107.64,107.56,107.6238,90480
2015-12-28,09:36,107.59,107.69,107.522,107.5999,104655
2015-12-28,09:37,107.51,107.65,107.44,107.6,109770
2015-12-28,09:38,107.39,107.52,107.32,107.51,92024
2015-12-28,09:39,107.31,107.39,107.3,107.38,140853
2015-12-28,09:40,107.2519,107.35,107.21,107.31,147175
2015-12-28,09:41,107.16,107.28,107.04,107.25,183868
2015-12-28,09:42,107.04,107.18,107.02,107.16,102592
2015-12-28,09:43,107.02,107.06,107.01,107.04,138244
2015-12-28,09:44,106.97,107.04,106.92,107.03,184479
2015-12-28,09:45,106.9899,107.04,106.93,106.951,149730
2015-12-28,09:46,106.94,107.01,106.88,106.99,128692
2015-12-28,09:47,107.08,107.08,106.91,106.945,152173
2015-12-28,09:48,107.0602,107.08,107.0138,107.08,89596
2015-12-28,09:49,107.1435,107.19,107.04,107.0699,193880
2015-12-28,09:50,107.12,107.15,107.07,107.15,90436
2015-12-28,09:51,107.06,107.1098,107.03,107.1098,67782
2015-12-28,09:52,106.96,107.0501,106.96,107.05,126995
2015-12-28,09:53,107,107,106.94,106.9662,71702
2015-12-28,09:54,107.05,107.0795,106.97,106.9916,102328
2015-12-28,09:55,106.9796,107.05,106.97,107.05,53045
2015-12-28,09:56,106.76,106.97,106.76,106.9601,163982
2015-12-28,09:57,106.7325,106.85,106.72,106.76,166458
2015-12-28,09:58,106.7801,106.8,106.7,106.72,106753
2015-12-28,09:59,106.8338,106.86,106.77,106.79,95687
2015-12-28,10:00,106.77,106.8854,106.76,106.83,110771
2015-12-28,10:01,106.72,106.78,106.71,106.76,142116
2015-12-28,10:02,106.79,106.8,106.71,106.72,83691
2015-12-28,10:03,106.72,106.88,106.72,106.8,63409
2015-12-28,10:04,106.81,106.86,106.69,106.72,111960
2015-12-28,10:05,106.74,106.83,106.7382,106.8,57517
2015-12-28,10:06,106.81,106.8199,106.73,106.74,82176
2015-12-28,10:07,106.84,106.87,106.79,106.8078,84312
2015-12-28,10:08,106.9415,106.95,106.8369,106.8447,98672
2015-12-28,10:09,106.86,106.94,106.8,106.94,101404
2015-12-28,10:10,106.881,106.918,106.84,106.8561,49370
2015-12-28,10:11,106.8,106.91,106.78,106.8889,72142
2015-12-28,10:12,106.68,106.79,106.63,106.78,131907
2015-12-28,10:13,106.687,106.75,106.65,106.68,69811
2015-12-28,10:14,106.59,106.69,106.56,106.68,147159
2015-12-28,10:15,106.605,106.67,106.59,106.59,90706
2015-12-28,10:16,106.6801,106.6801,106.57,106.6,72703
2015-12-28,10:17,106.68,106.77,106.68,106.685,73087
2015-12-28,10:18,106.67,106.73,106.62,106.68,41202
2015-12-28,10:19,106.7242,106.74,106.64,106.66,108419
2015-12-28,10:20,106.733,106.75,106.7,106.72,61981
2015-12-28,10:21,106.72,106.738,106.7,106.73,29472
2015-12-28,10:22,106.68,106.72,106.67,106.7102,70396
2015-12-28,10:23,106.68,106.695,106.665,106.6899,67245
2015-12-28,10:24,106.61,106.68,106.61,106.67,83079
2015-12-28,10:25,106.64,106.659,106.6,106.629,72041
2015-12-28,10:26,106.585,106.65,106.57,106.64,68722
2015-12-28,10:27,106.62,106.6547,106.57,106.5862,64361
2015-12-28,10:28,106.6,106.65,106.59,106.61,53155
2015-12-28,10:29,106.59,106.63,106.58,106.5999,61417
2015-12-28,10:30,106.465,106.6,106.46,106.5999,187941
2015-12-28,10:31,106.44,106.5,106.43,106.46,97077
2015-12-28,10:32,106.495,106.495,106.37,106.44,133420
2015-12-28,10:33,106.48,106.54,106.46,106.5,69488
2015-12-28,10:34,106.47,106.505,106.47,106.48,50092
2015-12-28,10:35,106.515,106.56,106.471,106.4799,84893
2015-12-28,10:36,106.5156,106.535,106.5,106.5162,79119
2015-12-28,10:37,106.59,106.6,106.5,106.519,82344
2015-12-28,10:38,106.54,106.64,106.52,106.595,95534
2015-12-28,10:39,106.54,106.56,106.51,106.54,40964
